NNets, Digits, seed = 100 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
zero,seven,four,six,two,five,eight,one,nine,three,
135,0,0,1,0,3,1,0,1,0,zero
0,141,3,0,0,1,2,2,2,2,seven
0,1,128,2,0,0,0,1,3,0,four
0,0,2,125,0,1,2,3,0,0,six
1,2,0,1,115,0,0,1,0,1,two
0,2,3,0,3,132,0,1,4,0,five
0,1,0,4,0,2,109,11,2,2,eight
0,0,2,1,1,0,4,141,4,0,one
1,1,3,0,0,3,6,4,109,2,nine
0,1,0,1,5,3,0,1,4,128,three

(0.9125722543352601, 0.014881485879782136)
hidden size: 10
accuracy:  0.716231451310005
hidden size: 20
accuracy:  0.8560091839809697
hidden size: 50
accuracy:  0.9003048676604063
hidden size: 100
accuracy:  0.9224122659035793
